"Scenario","Region","Variable","Year","Value"
"Current Measures","Saskatchewan","Oil",2030,0
"Current Measures","Saskatchewan","Onshore Wind",2030,9766.972428
"Current Measures","Saskatchewan","Solar (Distributed)",2030,93.2256849
"Current Measures","Saskatchewan","Solar (Utility scale)",2030,179.2901891
"Current Measures","Saskatchewan","Total",2030,28393.4575024
"Current Measures","Yukon","Bioenergy",2030,203.6546683
"Current Measures","Yukon","Hydro",2030,466.1637123
"Current Measures","Yukon","Natural Gas",2030,173.4086705
"Current Measures","Yukon","Oil",2030,25.08449022
"Current Measures","Yukon","Onshore Wind",2030,14.57229873
"Current Measures","Yukon","Solar (Distributed)",2030,0.845526595
"Current Measures","Yukon","Solar (Utility scale)",2030,2.970316994
"Current Measures","Yukon","Total",2030,886.699683639
"Global Net-zero","Alberta","Bioenergy",2030,1156.3993136
"Global Net-zero","Alberta","Bioenergy with CCUS",2030,0
"Global Net-zero","Alberta","Coal and Coke",2030,0
"Global Net-zero","Alberta","Hydro",2030,1651.074978
"Global Net-zero","Alberta","Natural Gas",2030,67592.29039
"Global Net-zero","Alberta","Natural Gas with CCUS",2030,4712.517897
"Global Net-zero","Alberta","Oil",2030,0
"Global Net-zero","Alberta","Onshore Wind",2030,19793.96348
"Global Net-zero","Alberta","Solar (Distributed)",2030,755.6076215
"Global Net-zero","Alberta","Solar (Utility scale)",2030,3468.696812
"Global Net-zero","Alberta","Uranium SMR",2030,0
"Global Net-zero","Alberta","Total",2030,99130.5504921
"Global Net-zero","British Columbia","Bioenergy",2030,3075.34217499999
"Global Net-zero","British Columbia","Bioenergy with CCUS",2030,0
"Global Net-zero","British Columbia","Hydro",2030,63079.29928
"Global Net-zero","British Columbia","Natural Gas",2030,10377.97782
"Global Net-zero","British Columbia","Natural Gas with CCUS",2030,0
"Global Net-zero","British Columbia","Oil",2030,0
"Global Net-zero","British Columbia","Onshore Wind",2030,3337.651147
"Global Net-zero","British Columbia","Solar (Distributed)",2030,739.5261528
"Global Net-zero","British Columbia","Solar (Utility scale)",2030,757.4897211
"Global Net-zero","British Columbia","Uranium SMR",2030,0
"Global Net-zero","British Columbia","Total",2030,81367.2862959
"Global Net-zero","Manitoba","Bioenergy",2030,80.87221747
"Global Net-zero","Manitoba","Hydro",2030,40089.44428
"Global Net-zero","Manitoba","Natural Gas",2030,12.338785
"Global Net-zero","Manitoba","Oil",2030,0.78351
"Global Net-zero","Manitoba","Onshore Wind",2030,1097.502553
"Global Net-zero","Manitoba","Solar (Distributed)",2030,59.65913553
"Global Net-zero","Manitoba","Solar (Utility scale)",2030,9.892769117
"Global Net-zero","Manitoba","Uranium SMR",2030,0
"Global Net-zero","Manitoba","Total",2030,41350.493250117
"Global Net-zero","New Brunswick","Bioenergy",2030,376.592135
"Global Net-zero","New Brunswick","Coal and Coke",2030,0.082900268
"Global Net-zero","New Brunswick","Hydro",2030,2935.56528
"Global Net-zero","New Brunswick","Natural Gas",2030,222.1393284
"Global Net-zero","New Brunswick","Oil",2030,62.830218735
"Global Net-zero","New Brunswick","Onshore Wind",2030,1334.09264
"Global Net-zero","New Brunswick","Solar (Distributed)",2030,20.93692924
"Global Net-zero","New Brunswick","Solar (Utility scale)",2030,48.1292859
"Global Net-zero","New Brunswick","Uranium",2030,5409.273321
"Global Net-zero","New Brunswick","Uranium SMR",2030,0
"Global Net-zero","New Brunswick","Total",2030,10409.642038543
"Global Net-zero","Newfoundland and Labrador","Hydro",2030,45437.34297
"Global Net-zero","Newfoundland and Labrador","Natural Gas",2030,6.92790565
"Global Net-zero","Newfoundland and Labrador","Oil",2030,0
"Global Net-zero","Newfoundland and Labrador","Onshore Wind",2030,194.4986979
"Global Net-zero","Newfoundland and Labrador","Solar (Distributed)",2030,11.49481546
"Global Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2030,0.019396747
"Global Net-zero","Newfoundland and Labrador","Total",2030,45650.283785757
"Global Net-zero","Nova Scotia","Bioenergy",2030,27.68563352
"Global Net-zero","Nova Scotia","Coal and Coke",2030,0
"Global Net-zero","Nova Scotia","Hydro",2030,860.3956728
"Global Net-zero","Nova Scotia","Natural Gas",2030,1140.655222
"Global Net-zero","Nova Scotia","Offshore Wind",2030,10025.41008
"Global Net-zero","Nova Scotia","Oil",2030,0
"Global Net-zero","Nova Scotia","Onshore Wind",2030,2108.833116
"Global Net-zero","Nova Scotia","Solar (Distributed)",2030,13.25767194
"Global Net-zero","Nova Scotia","Solar (Utility scale)",2030,0.539401307
"Global Net-zero","Nova Scotia","Total",2030,14176.776797567
"Global Net-zero","Northwest Territories","Hydro",2030,356.6815416
"Global Net-zero","Northwest Territories","Natural Gas",2030,0
"Global Net-zero","Northwest Territories","Oil",2030,11.32434108
"Global Net-zero","Northwest Territories","Onshore Wind",2030,21.5256462
"Global Net-zero","Northwest Territories","Solar (Distributed)",2030,0.991726925
"Global Net-zero","Northwest Territories","Solar (Utility scale)",2030,2.711876691
"Global Net-zero","Northwest Territories","Total",2030,393.235132496
"Global Net-zero","Nunavut","Oil",2030,296.1386895
"Global Net-zero","Nunavut","Onshore Wind",2030,16.27270125
"Global Net-zero","Nunavut","Solar (Distributed)",2030,0.575884267
"Global Net-zero","Nunavut","Solar (Utility scale)",2030,2.202683954
"Global Net-zero","Nunavut","Total",2030,315.189958971
"Global Net-zero","Ontario","Bioenergy",2030,1201.5
"Global Net-zero","Ontario","Bioenergy with CCUS",2030,0
"Global Net-zero","Ontario","Hydro",2030,38205.75767
"Global Net-zero","Ontario","Natural Gas",2030,24412.89843
"Global Net-zero","Ontario","Natural Gas with CCUS",2030,0
"Global Net-zero","Ontario","Oil",2030,13.66206096
"Global Net-zero","Ontario","Onshore Wind",2030,28544.34474
"Global Net-zero","Ontario","Solar (Distributed)",2030,4030.315328
"Global Net-zero","Ontario","Solar (Utility scale)",2030,4676.735388
"Global Net-zero","Ontario","Uranium",2030,80160.47618
"Global Net-zero","Ontario","Uranium SMR",2030,2055.056749
"Global Net-zero","Ontario","Total",2030,183300.74654596
"Global Net-zero","Prince Edward Island","Bioenergy",2030,5.863261031
"Global Net-zero","Prince Edward Island","Oil",2030,62.21362209
"Global Net-zero","Prince Edward Island","Onshore Wind",2030,1336.598969
"Global Net-zero","Prince Edward Island","Solar (Distributed)",2030,4.969160909
"Global Net-zero","Prince Edward Island","Solar (Utility scale)",2030,25.41605004
"Global Net-zero","Prince Edward Island","Uranium SMR",2030,0
"Global Net-zero","Prince Edward Island","Total",2030,1435.06106306999
"Global Net-zero","Quebec","Bioenergy",2030,1358.35173063
"Global Net-zero","Quebec","Hydro",2030,245779.0327
"Global Net-zero","Quebec","Natural Gas",2030,169.7155665
"Global Net-zero","Quebec","Oil",2030,321.8604
"Global Net-zero","Quebec","Onshore Wind",2030,14979.56053
"Global Net-zero","Quebec","Solar (Distributed)",2030,145.6852512
"Global Net-zero","Quebec","Solar (Utility scale)",2030,0.397480685
"Global Net-zero","Quebec","Uranium SMR",2030,0
"Global Net-zero","Quebec","Total",2030,262754.603659015
"Global Net-zero","Saskatchewan","Bioenergy",2030,12.636
"Global Net-zero","Saskatchewan","Bioenergy with CCUS",2030,0
"Global Net-zero","Saskatchewan","Coal and Coke",2030,0
"Global Net-zero","Saskatchewan","Coal with CCUS",2030,654.81
"Global Net-zero","Saskatchewan","Hydro",2030,4142.321096
"Global Net-zero","Saskatchewan","Natural Gas",2030,12974.45728
"Global Net-zero","Saskatchewan","Natural Gas with CCUS",2030,1047.324576
"Global Net-zero","Saskatchewan","Oil",2030,0
"Global Net-zero","Saskatchewan","Onshore Wind",2030,9642.924274
"Global Net-zero","Saskatchewan","Solar (Distributed)",2030,155.3761415
"Global Net-zero","Saskatchewan","Solar (Utility scale)",2030,179.2901891
"Global Net-zero","Saskatchewan","Uranium SMR",2030,0
"Global Net-zero","Saskatchewan","Total",2030,28809.1395566
"Global Net-zero","Yukon","Bioenergy",2030,130.7962877
"Global Net-zero","Yukon","Hydro",2030,466.1636164
"Global Net-zero","Yukon","Natural Gas",2030,173.448
"Global Net-zero","Yukon","Oil",2030,145.9488189
"Global Net-zero","Yukon","Onshore Wind",2030,14.57229873
"Global Net-zero","Yukon","Solar (Distributed)",2030,1.449051299
"Global Net-zero","Yukon","Solar (Utility scale)",2030,2.970316994
"Global Net-zero","Yukon","Total",2030,935.348390023
"Canada Net-zero","Alberta","Bioenergy",2031,1614.334829
"Canada Net-zero","Alberta","Bioenergy with CCUS",2031,1147.56
"Canada Net-zero","Alberta","Coal and Coke",2031,0
"Canada Net-zero","Alberta","Hydro",2031,1651.074978
"Canada Net-zero","Alberta","Hydrogen",2031,0
"Canada Net-zero","Alberta","Natural Gas",2031,52574.60071
"Canada Net-zero","Alberta","Natural Gas with CCUS",2031,13887.85868
"Canada Net-zero","Alberta","Oil",2031,0
"Canada Net-zero","Alberta","Onshore Wind",2031,32596.76087
"Canada Net-zero","Alberta","Solar (Distributed)",2031,906.7291458
"Canada Net-zero","Alberta","Solar (Utility scale)",2031,7705.013929
"Canada Net-zero","Alberta","Uranium SMR",2031,826.6527537
"Canada Net-zero","Alberta","Total",2031,112910.5858955
"Canada Net-zero","British Columbia","Bioenergy",2031,3314.1252194
"Canada Net-zero","British Columbia","Bioenergy with CCUS",2031,131.4
"Canada Net-zero","British Columbia","Hydro",2031,63079.29928
"Canada Net-zero","British Columbia","Natural Gas",2031,11084.16074
"Canada Net-zero","British Columbia","Natural Gas with CCUS",2031,0
"Canada Net-zero","British Columbia","Oil",2031,0
"Canada Net-zero","British Columbia","Onshore Wind",2031,4710.34508
"Canada Net-zero","British Columbia","Solar (Distributed)",2031,824.3713606
"Canada Net-zero","British Columbia","Solar (Utility scale)",2031,1878.9334
"Canada Net-zero","British Columbia","Uranium SMR",2031,3854.4
"Canada Net-zero","British Columbia","Total",2031,88877.03508
"Canada Net-zero","Manitoba","Bioenergy",2031,83.35909791
"Canada Net-zero","Manitoba","Hydro",2031,41448.82259
"Canada Net-zero","Manitoba","Natural Gas",2031,11.20709625
"Canada Net-zero","Manitoba","Oil",2031,0.735739663
"Canada Net-zero","Manitoba","Onshore Wind",2031,1096.798358
"Canada Net-zero","Manitoba","Solar (Distributed)",2031,62.6420923
"Canada Net-zero","Manitoba","Solar (Utility scale)",2031,9.892769117
"Canada Net-zero","Manitoba","Uranium SMR",2031,345.8917553
"Canada Net-zero","Manitoba","Total",2031,43059.34949854
"Canada Net-zero","New Brunswick","Bioenergy",2031,171.2043648
"Canada Net-zero","New Brunswick","Coal and Coke",2031,0
"Canada Net-zero","New Brunswick","Hydro",2031,2820.670151
"Canada Net-zero","New Brunswick","Natural Gas",2031,70.74911782
"Canada Net-zero","New Brunswick","Oil",2031,11.063959188
"Canada Net-zero","New Brunswick","Onshore Wind",2031,2687.377331
"Canada Net-zero","New Brunswick","Solar (Distributed)",2031,21.63482688
"Canada Net-zero","New Brunswick","Solar (Utility scale)",2031,48.1292859
"Canada Net-zero","New Brunswick","Uranium",2031,5205.045333
"Canada Net-zero","New Brunswick","Uranium SMR",2031,0
"Canada Net-zero","New Brunswick","Total",2031,11035.874369588
"Canada Net-zero","Newfoundland and Labrador","Hydro",2031,45492.43236
"Canada Net-zero","Newfoundland and Labrador","Natural Gas",2031,0
"Canada Net-zero","Newfoundland and Labrador","Oil",2031,0
"Canada Net-zero","Newfoundland and Labrador","Onshore Wind",2031,194.4986979
"Canada Net-zero","Newfoundland and Labrador","Solar (Distributed)",2031,12.06955624
"Canada Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2031,0.019396747
"Canada Net-zero","Newfoundland and Labrador","Total",2031,45699.020010887
"Canada Net-zero","Nova Scotia","Bioenergy",2031,194.8391906
"Canada Net-zero","Nova Scotia","Coal and Coke",2031,0
"Canada Net-zero","Nova Scotia","Hydro",2031,632.1239792
"Canada Net-zero","Nova Scotia","Natural Gas",2031,328.0200637
"Canada Net-zero","Nova Scotia","Offshore Wind",2031,12660.29753
"Canada Net-zero","Nova Scotia","Oil",2031,0
"Canada Net-zero","Nova Scotia","Onshore Wind",2031,2018.763497
"Canada Net-zero","Nova Scotia","Solar (Distributed)",2031,13.92055554
"Canada Net-zero","Nova Scotia","Solar (Utility scale)",2031,0.539401307
"Canada Net-zero","Nova Scotia","Total",2031,15848.504217347
"Canada Net-zero","Northwest Territories","Hydro",2031,544.773265
"Canada Net-zero","Northwest Territories","Natural Gas",2031,89.52019037
"Canada Net-zero","Northwest Territories","Oil",2031,19.56283639
"Canada Net-zero","Northwest Territories","Onshore Wind",2031,35.487231
"Canada Net-zero","Northwest Territories","Solar (Distributed)",2031,0.989333434
"Canada Net-zero","Northwest Territories","Solar (Utility scale)",2031,6.91372957
"Canada Net-zero","Northwest Territories","Total",2031,697.246585764
"Canada Net-zero","Nunavut","Oil",2031,309.4873954
"Canada Net-zero","Nunavut","Onshore Wind",2031,16.27270125
"Canada Net-zero","Nunavut","Solar (Distributed)",2031,0.573752583
"Canada Net-zero","Nunavut","Solar (Utility scale)",2031,2.202683954
"Canada Net-zero","Nunavut","Total",2031,328.536533187
"Canada Net-zero","Ontario","Bioenergy",2031,1917.1221992
"Canada Net-zero","Ontario","Bioenergy with CCUS",2031,131.4
"Canada Net-zero","Ontario","Hydro",2031,38758.04187
"Canada Net-zero","Ontario","Natural Gas",2031,14769.80099
"Canada Net-zero","Ontario","Natural Gas with CCUS",2031,0
"Canada Net-zero","Ontario","Oil",2031,13.66206096
"Canada Net-zero","Ontario","Onshore Wind",2031,36243.97808
"Canada Net-zero","Ontario","Solar (Distributed)",2031,4106.82549
"Canada Net-zero","Ontario","Solar (Utility scale)",2031,5296.825582
"Canada Net-zero","Ontario","Uranium",2031,78855.09933
"Canada Net-zero","Ontario","Uranium SMR",2031,13022.2922
"Canada Net-zero","Ontario","Total",2031,193115.04780216
"Canada Net-zero","Prince Edward Island","Bioenergy",2031,8.404959333
"Canada Net-zero","Prince Edward Island","Oil",2031,44.3136089
"Canada Net-zero","Prince Edward Island","Onshore Wind",2031,1533.762225
"Canada Net-zero","Prince Edward Island","Solar (Distributed)",2031,5.002736038
"Canada Net-zero","Prince Edward Island","Solar (Utility scale)",2031,93.83681628
"Canada Net-zero","Prince Edward Island","Uranium SMR",2031,0
"Canada Net-zero","Prince Edward Island","Total",2031,1685.320345551
"Canada Net-zero","Quebec","Bioenergy",2031,1724.173382
"Canada Net-zero","Quebec","Hydro",2031,251370.3397
"Canada Net-zero","Quebec","Natural Gas",2031,151.8266113
"Canada Net-zero","Quebec","Oil",2031,322.5264619
"Canada Net-zero","Quebec","Onshore Wind",2031,17081.9807
"Canada Net-zero","Quebec","Solar (Distributed)",2031,189.3908266
"Canada Net-zero","Quebec","Solar (Utility scale)",2031,0.397480685
"Canada Net-zero","Quebec","Uranium SMR",2031,0
"Canada Net-zero","Quebec","Total",2031,270840.635162485
"Canada Net-zero","Saskatchewan","Bioenergy",2031,274.2472007
"Canada Net-zero","Saskatchewan","Bioenergy with CCUS",2031,876
"Canada Net-zero","Saskatchewan","Coal and Coke",2031,0
"Canada Net-zero","Saskatchewan","Coal with CCUS",2031,654.81
"Canada Net-zero","Saskatchewan","Hydro",2031,4023.458078
"Canada Net-zero","Saskatchewan","Natural Gas",2031,10699.36425
"Canada Net-zero","Saskatchewan","Natural Gas with CCUS",2031,0
"Canada Net-zero","Saskatchewan","Oil",2031,0
"Canada Net-zero","Saskatchewan","Onshore Wind",2031,12578.87646
"Canada Net-zero","Saskatchewan","Solar (Distributed)",2031,170.9137557
"Canada Net-zero","Saskatchewan","Solar (Utility scale)",2031,755.3809045
"Canada Net-zero","Saskatchewan","Uranium SMR",2031,1800.126807
"Canada Net-zero","Saskatchewan","Total",2031,31833.1774559
"Canada Net-zero","Yukon","Bioenergy",2031,156.5316348
"Canada Net-zero","Yukon","Hydro",2031,466.1584319
"Canada Net-zero","Yukon","Natural Gas",2031,173.4469783
"Canada Net-zero","Yukon","Oil",2031,143.490335
"Canada Net-zero","Yukon","Onshore Wind",2031,14.57229873
"Canada Net-zero","Yukon","Solar (Distributed)",2031,1.421739426
"Canada Net-zero","Yukon","Solar (Utility scale)",2031,2.970316994
"Canada Net-zero","Yukon","Total",2031,958.59173515
"Current Measures","Alberta","Bioenergy",2031,1178.2266347
"Current Measures","Alberta","Coal and Coke",2031,0
"Current Measures","Alberta","Hydro",2031,1651.074978
"Current Measures","Alberta","Natural Gas",2031,87348.27977
"Current Measures","Alberta","Oil",2031,0
"Current Measures","Alberta","Onshore Wind",2031,14174.00682
"Current Measures","Alberta","Solar (Distributed)",2031,528.9253351
"Current Measures","Alberta","Solar (Utility scale)",2031,3419.898908
"Current Measures","Alberta","Total",2031,108300.4124458
"Current Measures","British Columbia","Bioenergy",2031,2708.318141
"Current Measures","British Columbia","Hydro",2031,63264.24492
"Current Measures","British Columbia","Natural Gas",2031,9367.632394
"Current Measures","British Columbia","Oil",2031,0
"Current Measures","British Columbia","Onshore Wind",2031,3251.343504
"Current Measures","British Columbia","Solar (Distributed)",2031,497.9476096
"Current Measures","British Columbia","Solar (Utility scale)",2031,1856.762275
"Current Measures","British Columbia","Total",2031,80946.2488436
"Current Measures","Manitoba","Bioenergy",2031,169.9306403
"Current Measures","Manitoba","Hydro",2031,37424.97171
"Current Measures","Manitoba","Natural Gas",2031,14.78976307
"Current Measures","Manitoba","Oil",2031,1.19392
"Current Measures","Manitoba","Onshore Wind",2031,1617.835373
"Current Measures","Manitoba","Solar (Distributed)",2031,31.32104615
"Current Measures","Manitoba","Solar (Utility scale)",2031,9.892769117
"Current Measures","Manitoba","Total",2031,39269.9352216369
"Current Measures","New Brunswick","Bioenergy",2031,140.7960726
"Current Measures","New Brunswick","Coal and Coke",2031,0
"Current Measures","New Brunswick","Hydro",2031,2979.460709
"Current Measures","New Brunswick","Natural Gas",2031,6.784525182
"Current Measures","New Brunswick","Oil",2031,0
"Current Measures","New Brunswick","Onshore Wind",2031,2404.875256
"Current Measures","New Brunswick","Solar (Distributed)",2031,14.65585046
"Current Measures","New Brunswick","Solar (Utility scale)",2031,48.1292859
"Current Measures","New Brunswick","Uranium",2031,5417.265405
"Current Measures","New Brunswick","Total",2031,11011.967104142
"Current Measures","Newfoundland and Labrador","Hydro",2031,45033.10628
"Current Measures","Newfoundland and Labrador","Natural Gas",2031,0
"Current Measures","Newfoundland and Labrador","Oil",2031,0
"Current Measures","Newfoundland and Labrador","Onshore Wind",2031,194.4986979
"Current Measures","Newfoundland and Labrador","Solar (Distributed)",2031,6.322148506
"Current Measures","Newfoundland and Labrador","Solar (Utility scale)",2031,0.019396747
"Current Measures","Newfoundland and Labrador","Total",2031,45233.946523153
"Current Measures","Nova Scotia","Bioenergy",2031,347.2200166
"Current Measures","Nova Scotia","Coal and Coke",2031,0
"Current Measures","Nova Scotia","Hydro",2031,987.5732758
"Current Measures","Nova Scotia","Natural Gas",2031,5675.190844
"Current Measures","Nova Scotia","Oil",2031,0
"Current Measures","Nova Scotia","Onshore Wind",2031,2480.340181
"Current Measures","Nova Scotia","Solar (Distributed)",2031,7.291719569
"Current Measures","Nova Scotia","Solar (Utility scale)",2031,0.539401307
"Current Measures","Nova Scotia","Total",2031,9498.155438276
"Current Measures","Northwest Territories","Hydro",2031,312.6519134
"Current Measures","Northwest Territories","Natural Gas",2031,0
"Current Measures","Northwest Territories","Oil",2031,15.39846816
"Current Measures","Northwest Territories","Onshore Wind",2031,16.5845604
"Current Measures","Northwest Territories","Solar (Distributed)",2031,0.525031349
"Current Measures","Northwest Territories","Solar (Utility scale)",2031,2.670377754
"Current Measures","Northwest Territories","Total",2031,347.830351063
"Current Measures","Nunavut","Bioenergy",2031,0
"Current Measures","Nunavut","Oil",2031,290.8637895
"Current Measures","Nunavut","Onshore Wind",2031,16.27270125
"Current Measures","Nunavut","Solar (Distributed)",2031,0.247743178
"Current Measures","Nunavut","Solar (Utility scale)",2031,2.202683954
"Current Measures","Nunavut","Total",2031,309.586917882
"Current Measures","Ontario","Bioenergy",2031,1509.33847
"Current Measures","Ontario","Hydro",2031,37570.14193
"Current Measures","Ontario","Natural Gas",2031,14563.6347
"Current Measures","Ontario","Oil",2031,13.66206096
"Current Measures","Ontario","Onshore Wind",2031,27539.48951
"Current Measures","Ontario","Solar (Distributed)",2031,4031.360817
"Current Measures","Ontario","Solar (Utility scale)",2031,4676.735388
"Current Measures","Ontario","Uranium",2031,75345.64596
"Current Measures","Ontario","Uranium SMR",2031,1760.140565
"Current Measures","Ontario","Total",2031,167010.149400959
"Current Measures","Prince Edward Island","Bioenergy",2031,7.840337383
"Current Measures","Prince Edward Island","Oil",2031,23.04075146
"Current Measures","Prince Edward Island","Onshore Wind",2031,1704.927106
"Current Measures","Prince Edward Island","Solar (Distributed)",2031,2.712149636
"Current Measures","Prince Edward Island","Solar (Utility scale)",2031,0
"Current Measures","Prince Edward Island","Total",2031,1738.520344479
"Current Measures","Quebec","Bioenergy",2031,3671.97308399999
"Current Measures","Quebec","Hydro",2031,244183.2449
"Current Measures","Quebec","Natural Gas",2031,0
"Current Measures","Quebec","Oil",2031,320.616
"Current Measures","Quebec","Onshore Wind",2031,22895.20387
"Current Measures","Quebec","Solar (Distributed)",2031,107.8070859
"Current Measures","Quebec","Solar (Utility scale)",2031,0.397480685
"Current Measures","Quebec","Total",2031,271179.242420585
"Current Measures","Saskatchewan","Bioenergy",2031,295.6556957
"Current Measures","Saskatchewan","Coal and Coke",2031,0
"Current Measures","Saskatchewan","Coal with CCUS",2031,654.81
"Current Measures","Saskatchewan","Hydro",2031,4143.280001
"Current Measures","Saskatchewan","Natural Gas",2031,13100.35042
"Current Measures","Saskatchewan","Oil",2031,0
"Current Measures","Saskatchewan","Onshore Wind",2031,10184.07025
"Current Measures","Saskatchewan","Solar (Distributed)",2031,102.5482534
"Current Measures","Saskatchewan","Solar (Utility scale)",2031,463.8905039
"Current Measures","Saskatchewan","Total",2031,28944.605124
"Current Measures","Yukon","Bioenergy",2031,186.9501658
"Current Measures","Yukon","Hydro",2031,466.158317
"Current Measures","Yukon","Natural Gas",2031,172.9233593
"Current Measures","Yukon","Oil",2031,23.73027453
"Current Measures","Yukon","Onshore Wind",2031,14.57229873
"Current Measures","Yukon","Solar (Distributed)",2031,0.821368692
"Current Measures","Yukon","Solar (Utility scale)",2031,2.970316994
"Current Measures","Yukon","Total",2031,868.126101046
"Global Net-zero","Alberta","Bioenergy",2031,1444.834649
"Global Net-zero","Alberta","Bioenergy with CCUS",2031,1147.56
"Global Net-zero","Alberta","Coal and Coke",2031,0
"Global Net-zero","Alberta","Hydro",2031,1651.074978
"Global Net-zero","Alberta","Natural Gas",2031,54206.83615
"Global Net-zero","Alberta","Natural Gas with CCUS",2031,7393.834033
"Global Net-zero","Alberta","Oil",2031,0
"Global Net-zero","Alberta","Onshore Wind",2031,26135.13432
"Global Net-zero","Alberta","Solar (Distributed)",2031,906.7291458
"Global Net-zero","Alberta","Solar (Utility scale)",2031,6849.608857
"Global Net-zero","Alberta","Uranium SMR",2031,0
"Global Net-zero","Alberta","Total",2031,99735.6121328
"Global Net-zero","British Columbia","Bioenergy",2031,3487.87012849999
"Global Net-zero","British Columbia","Bioenergy with CCUS",2031,131.4
"Global Net-zero","British Columbia","Hydro",2031,63079.28039
"Global Net-zero","British Columbia","Natural Gas",2031,10040.05839
"Global Net-zero","British Columbia","Natural Gas with CCUS",2031,0
"Global Net-zero","British Columbia","Oil",2031,0
"Global Net-zero","British Columbia","Onshore Wind",2031,4315.336843
"Global Net-zero","British Columbia","Solar (Distributed)",2031,824.3713606
"Global Net-zero","British Columbia","Solar (Utility scale)",2031,1631.186502
"Global Net-zero","British Columbia","Uranium SMR",2031,1333.731373
"Global Net-zero","British Columbia","Total",2031,84843.2349871
"Global Net-zero","Manitoba","Bioenergy",2031,83.35909791
"Global Net-zero","Manitoba","Hydro",2031,40802.16331
"Global Net-zero","Manitoba","Natural Gas",2031,12.97870184
"Global Net-zero","Manitoba","Oil",2031,0.910996116
"Global Net-zero","Manitoba","Onshore Wind",2031,1098.691413
"Global Net-zero","Manitoba","Solar (Distributed)",2031,62.6420923
"Global Net-zero","Manitoba","Solar (Utility scale)",2031,27.69975383
"Global Net-zero","Manitoba","Uranium SMR",2031,62.32721271
"Global Net-zero","Manitoba","Total",2031,42150.772577706
"Global Net-zero","New Brunswick","Bioenergy",2031,271.0291255
"Global Net-zero","New Brunswick","Coal and Coke",2031,0
"Global Net-zero","New Brunswick","Hydro",2031,2795.603471
"Global Net-zero","New Brunswick","Natural Gas",2031,115.7423543
"Global Net-zero","New Brunswick","Oil",2031,47.188961297
"Global Net-zero","New Brunswick","Onshore Wind",2031,2669.498008
"Global Net-zero","New Brunswick","Solar (Distributed)",2031,21.63482688
"Global Net-zero","New Brunswick","Solar (Utility scale)",2031,82.58315979
"Global Net-zero","New Brunswick","Uranium",2031,5284.857801
"Global Net-zero","New Brunswick","Uranium SMR",2031,0
"Global Net-zero","New Brunswick","Total",2031,11288.137707767
"Global Net-zero","Newfoundland and Labrador","Hydro",2031,45516.52139
"Global Net-zero","Newfoundland and Labrador","Natural Gas",2031,1.175163518
"Global Net-zero","Newfoundland and Labrador","Oil",2031,0
"Global Net-zero","Newfoundland and Labrador","Onshore Wind",2031,194.4986979
"Global Net-zero","Newfoundland and Labrador","Solar (Distributed)",2031,12.06955624
"Global Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2031,0.019396747
"Global Net-zero","Newfoundland and Labrador","Total",2031,45724.284204405
"Global Net-zero","Nova Scotia","Bioenergy",2031,27.65540505
"Global Net-zero","Nova Scotia","Coal and Coke",2031,0
"Global Net-zero","Nova Scotia","Hydro",2031,630.3702499
"Global Net-zero","Nova Scotia","Natural Gas",2031,310.5557415
"Global Net-zero","Nova Scotia","Offshore Wind",2031,12623.24744
"Global Net-zero","Nova Scotia","Oil",2031,0
"Global Net-zero","Nova Scotia","Onshore Wind",2031,2013.74671
"Global Net-zero","Nova Scotia","Solar (Distributed)",2031,13.92055554
"Global Net-zero","Nova Scotia","Solar (Utility scale)",2031,27.53918912
"Global Net-zero","Nova Scotia","Total",2031,15647.03529111
"Global Net-zero","Northwest Territories","Hydro",2031,370.7769103
"Global Net-zero","Northwest Territories","Natural Gas",2031,0
"Global Net-zero","Northwest Territories","Oil",2031,9.66504816
"Global Net-zero","Northwest Territories","Onshore Wind",2031,22.46544023
"Global Net-zero","Northwest Territories","Solar (Distributed)",2031,0.989333434
"Global Net-zero","Northwest Territories","Solar (Utility scale)",2031,2.712391357
"Global Net-zero","Northwest Territories","Total",2031,406.609123481
"Global Net-zero","Nunavut","Oil",2031,304.210394
"Global Net-zero","Nunavut","Onshore Wind",2031,16.27270125
"Global Net-zero","Nunavut","Solar (Distributed)",2031,0.573752583
"Global Net-zero","Nunavut","Solar (Utility scale)",2031,2.202683954
"Global Net-zero","Nunavut","Total",2031,323.259531787
"Global Net-zero","Ontario","Bioenergy",2031,1028.330545
"Global Net-zero","Ontario","Bioenergy with CCUS",2031,131.4
"Global Net-zero","Ontario","Hydro",2031,38737.52505
"Global Net-zero","Ontario","Natural Gas",2031,20330.74848
"Global Net-zero","Ontario","Natural Gas with CCUS",2031,0
"Global Net-zero","Ontario","Oil",2031,13.66206096
"Global Net-zero","Ontario","Onshore Wind",2031,35450.00628
"Global Net-zero","Ontario","Solar (Distributed)",2031,4106.82549
"Global Net-zero","Ontario","Solar (Utility scale)",2031,5113.51933
"Global Net-zero","Ontario","Uranium",2031,79131.13675
"Global Net-zero","Ontario","Uranium SMR",2031,8340.46284
"Global Net-zero","Ontario","Total",2031,192383.61682596
"Global Net-zero","Prince Edward Island","Bioenergy",2031,5.649270522
"Global Net-zero","Prince Edward Island","Oil",2031,83.691343
